gene_ID	SampleName	mean.TPM	z.score.logTPM	Part	module	description
evm.TU.01.1534	Root	0	-0.40824829046386296	Female root-mid	15	
evm.TU.01.1534	Root	0	-0.40824829046386296	Female root-tip	15	
evm.TU.01.1534	Stem	0	-0.40824829046386296	Stem	15	
evm.TU.01.1534	Stem	0	-0.40824829046386296	Primary stem	15	
evm.TU.01.1534	Stem	0	-0.40824829046386296	Shoot	15	
evm.TU.01.1534	Trichome	29.991438567150283	2.0412414523193148	Trichomes	15	
evm.TU.01.2756	Flower	0	-0.6294651391722785	Female flower	15	
evm.TU.01.2756	Flower	0	-0.6294651391722785	Flower	15	
evm.TU.01.2756	Flower	0	-0.6294651391722785	Male flower	15	
evm.TU.01.2756	Flower	0	-0.6294651391722785	Female reproductive bud	15	
evm.TU.01.2756	Flower	0	-0.6294651391722785	Female floral bud	15	
evm.TU.01.2756	Leaf	0	-0.6294651391722785	Leaf	15	
evm.TU.01.2756	Leaf	0	-0.6294651391722785	Leaf 	15	
evm.TU.01.2756	Leaf	0	-0.6294651391722785	Petiole	15	
evm.TU.01.2756	Leaf	0	-0.6294651391722785	Vegetative leaf - fresh cutting	15	
evm.TU.01.2756	Leaf	0	-0.6294651391722785	Female reproductive leaf	15	
evm.TU.01.2756	Meristem	0	-0.6294651391722785	Female apical meristem	15	
evm.TU.01.2756	Meristem	0	-0.6294651391722785	Male apical meristem	15	
evm.TU.01.2756	Root	12.550409131670067	0.2236113433600371	Roots	15	
evm.TU.01.2756	Root	12.550409131670067	0.2236113433600371	Root	15	
evm.TU.01.2756	Root	12.550409131670067	0.2236113433600371	Female root-mid	15	
evm.TU.01.2756	Root	12.550409131670067	0.2236113433600371	Female root-tip	15	
evm.TU.01.2756	Stem	1.5047089654765888	-0.25746251194136277	Stem	15	
evm.TU.01.2756	Stem	1.5047089654765888	-0.25746251194136277	Primary stem	15	
evm.TU.01.2756	Stem	1.5047089654765888	-0.25746251194136277	Shoot	15	
evm.TU.01.2756	Trichome	123.27251691251936	1.922246586098161	Trichomes	15	
evm.TU.01.2861	Flower	0	-0.5103399990144778	Female flower	15	
evm.TU.01.2861	Flower	0	-0.5103399990144778	Flower	15	
evm.TU.01.2861	Flower	0	-0.5103399990144778	Male flower	15	
evm.TU.01.2861	Flower	0	-0.5103399990144778	Female reproductive bud	15	
evm.TU.01.2861	Flower	0	-0.5103399990144778	Female floral bud	15	
evm.TU.01.2861	Leaf	0	-0.5103399990144778	Leaf	15	
evm.TU.01.2861	Leaf	0	-0.5103399990144778	Leaf 	15	
evm.TU.01.2861	Leaf	0	-0.5103399990144778	Petiole	15	
evm.TU.01.2861	Leaf	0	-0.5103399990144778	Vegetative leaf - fresh cutting	15	
evm.TU.01.2861	Leaf	0	-0.5103399990144778	Female reproductive leaf	15	
evm.TU.01.2861	Meristem	0	-0.5103399990144778	Female apical meristem	15	
evm.TU.01.2861	Meristem	0	-0.5103399990144778	Male apical meristem	15	
evm.TU.01.2861	Root	1.5584288565067868	0.05252788578862338	Roots	15	
evm.TU.01.2861	Root	1.5584288565067868	0.05252788578862338	Root	15	
evm.TU.01.2861	Root	1.5584288565067868	0.05252788578862338	Female root-mid	15	
evm.TU.01.2861	Root	1.5584288565067868	0.05252788578862338	Female root-tip	15	
evm.TU.01.2861	Stem	0	-0.5103399990144778	Stem	15	
evm.TU.01.2861	Stem	0	-0.5103399990144778	Primary stem	15	
evm.TU.01.2861	Stem	0	-0.5103399990144778	Shoot	15	
evm.TU.01.2861	Trichome	34.16734082405991	1.9888321102692876	Trichomes	15	
evm.TU.01.360	Flower	0	-0.5202681987099627	Female flower	15	
evm.TU.01.360	Flower	0	-0.5202681987099627	Flower	15	
evm.TU.01.360	Flower	0	-0.5202681987099627	Male flower	15	
evm.TU.01.360	Flower	0	-0.5202681987099627	Female reproductive bud	15	
evm.TU.01.360	Flower	0	-0.5202681987099627	Female floral bud	15	
evm.TU.01.360	Leaf	0	-0.5202681987099627	Leaf	15	
evm.TU.01.360	Leaf	0	-0.5202681987099627	Leaf 	15	
evm.TU.01.360	Leaf	0	-0.5202681987099627	Petiole	15	
evm.TU.01.360	Leaf	0	-0.5202681987099627	Vegetative leaf - fresh cutting	15	
evm.TU.01.360	Leaf	0	-0.5202681987099627	Female reproductive leaf	15	
evm.TU.01.360	Meristem	0	-0.5202681987099627	Female apical meristem	15	
evm.TU.01.360	Meristem	0	-0.5202681987099627	Male apical meristem	15	
evm.TU.01.360	Root	7.890132213659124	0.10462720926834786	Roots	15	
evm.TU.01.360	Root	7.890132213659124	0.10462720926834786	Root	15	
evm.TU.01.360	Root	7.890132213659124	0.10462720926834786	Female root-mid	15	
evm.TU.01.360	Root	7.890132213659124	0.10462720926834786	Female root-tip	15	
evm.TU.01.360	Stem	0	-0.5202681987099627	Stem	15	
evm.TU.01.360	Stem	0	-0.5202681987099627	Primary stem	15	
evm.TU.01.360	Stem	0	-0.5202681987099627	Shoot	15	
evm.TU.01.360	Trichome	57.55864673715338	1.9764455855715028	Trichomes	15	
evm.TU.01.85	Flower	0	-0.6315065293404468	Female flower	15	
evm.TU.01.85	Flower	0	-0.6315065293404468	Flower	15	
evm.TU.01.85	Flower	0	-0.6315065293404468	Male flower	15	
evm.TU.01.85	Flower	0	-0.6315065293404468	Female reproductive bud	15	
evm.TU.01.85	Flower	0	-0.6315065293404468	Female floral bud	15	
evm.TU.01.85	Leaf	0	-0.6315065293404468	Leaf	15	
evm.TU.01.85	Leaf	0	-0.6315065293404468	Leaf 	15	
evm.TU.01.85	Leaf	0	-0.6315065293404468	Petiole	15	
evm.TU.01.85	Leaf	0	-0.6315065293404468	Vegetative leaf - fresh cutting	15	
evm.TU.01.85	Leaf	0	-0.6315065293404468	Female reproductive leaf	15	
evm.TU.01.85	Meristem	24.02083752396628	0.9356034980350572	Female apical meristem	15	
evm.TU.01.85	Meristem	24.02083752396628	0.9356034980350572	Male apical meristem	15	
evm.TU.01.85	Root	0	-0.6315065293404468	Roots	15	
evm.TU.01.85	Root	0	-0.6315065293404468	Root	15	
evm.TU.01.85	Root	0	-0.6315065293404468	Female root-mid	15	
evm.TU.01.85	Root	0	-0.6315065293404468	Female root-tip	15	
evm.TU.01.85	Stem	0	-0.6315065293404468	Stem	15	
evm.TU.01.85	Stem	0	-0.6315065293404468	Primary stem	15	
evm.TU.01.85	Stem	0	-0.6315065293404468	Shoot	15	
evm.TU.01.85	Trichome	86.31551551559073	1.5904226193267303	Trichomes	15	
evm.TU.02.1033	Flower	0	-0.40824829046386296	Female flower	15	
evm.TU.02.1033	Flower	0	-0.40824829046386296	Flower	15	
evm.TU.02.1033	Flower	0	-0.40824829046386296	Male flower	15	
evm.TU.02.1033	Flower	0	-0.40824829046386296	Female reproductive bud	15	
evm.TU.02.1033	Flower	0	-0.40824829046386296	Female floral bud	15	
evm.TU.02.1033	Leaf	0	-0.40824829046386296	Leaf	15	
evm.TU.02.1033	Leaf	0	-0.40824829046386296	Leaf 	15	
evm.TU.02.1033	Leaf	0	-0.40824829046386296	Petiole	15	
evm.TU.02.1033	Leaf	0	-0.40824829046386296	Vegetative leaf - fresh cutting	15	
evm.TU.02.1033	Leaf	0	-0.40824829046386296	Female reproductive leaf	15	
evm.TU.02.1033	Meristem	0	-0.40824829046386296	Female apical meristem	15	
evm.TU.02.1033	Meristem	0	-0.40824829046386296	Male apical meristem	15	
evm.TU.02.1033	Root	0	-0.40824829046386296	Roots	15	
evm.TU.02.1033	Root	0	-0.40824829046386296	Root	15	
evm.TU.02.1033	Root	0	-0.40824829046386296	Female root-mid	15	
evm.TU.02.1033	Root	0	-0.40824829046386296	Female root-tip	15	
evm.TU.02.1033	Stem	0	-0.40824829046386296	Stem	15	
evm.TU.02.1033	Stem	0	-0.40824829046386296	Primary stem	15	
evm.TU.02.1033	Stem	0	-0.40824829046386296	Shoot	15	
evm.TU.02.1033	Trichome	37.13388710121711	2.041241452319315	Trichomes	15	
evm.TU.02.1052	Flower	0	-0.5966852810274058	Female flower	15	
evm.TU.02.1052	Flower	0	-0.5966852810274058	Flower	15	
evm.TU.02.1052	Flower	0	-0.5966852810274058	Male flower	15	
evm.TU.02.1052	Flower	0	-0.5966852810274058	Female reproductive bud	15	
evm.TU.02.1052	Flower	0	-0.5966852810274058	Female floral bud	15	
evm.TU.02.1052	Leaf	0	-0.5966852810274058	Leaf	15	
evm.TU.02.1052	Leaf	0	-0.5966852810274058	Leaf 	15	
evm.TU.02.1052	Leaf	0	-0.5966852810274058	Petiole	15	
evm.TU.02.1052	Leaf	0	-0.5966852810274058	Vegetative leaf - fresh cutting	15	
evm.TU.02.1052	Leaf	0	-0.5966852810274058	Female reproductive leaf	15	
evm.TU.02.1052	Meristem	0	-0.5966852810274058	Female apical meristem	15	
evm.TU.02.1052	Meristem	0	-0.5966852810274058	Male apical meristem	15	
evm.TU.02.1052	Root	8.984538451796173	0.5902121645907004	Roots	15	
evm.TU.02.1052	Root	8.984538451796173	0.5902121645907004	Root	15	
evm.TU.02.1052	Root	8.984538451796173	0.5902121645907004	Female root-mid	15	
evm.TU.02.1052	Root	8.984538451796173	0.5902121645907004	Female root-tip	15	
evm.TU.02.1052	Stem	0	-0.5966852810274058	Stem	15	
evm.TU.02.1052	Stem	0	-0.5966852810274058	Primary stem	15	
evm.TU.02.1052	Stem	0	-0.5966852810274058	Shoot	15	
evm.TU.02.1052	Trichome	86.09464205078922	1.7965289595189227	Trichomes	15	
evm.TU.02.1136	Flower	0	-0.6433050226002365	Female flower	15	
evm.TU.02.1136	Flower	0	-0.6433050226002365	Flower	15	
evm.TU.02.1136	Flower	0	-0.6433050226002365	Male flower	15	
evm.TU.02.1136	Flower	0	-0.6433050226002365	Female reproductive bud	15	
evm.TU.02.1136	Flower	0	-0.6433050226002365	Female floral bud	15	
evm.TU.02.1136	Leaf	0	-0.6433050226002365	Leaf	15	
evm.TU.02.1136	Leaf	0	-0.6433050226002365	Leaf 	15	
evm.TU.02.1136	Leaf	0	-0.6433050226002365	Petiole	15	
evm.TU.02.1136	Leaf	0	-0.6433050226002365	Vegetative leaf - fresh cutting	15	
evm.TU.02.1136	Leaf	0	-0.6433050226002365	Female reproductive leaf	15	
evm.TU.02.1136	Meristem	31.742765378721167	1.1564106312852938	Female apical meristem	15	
evm.TU.02.1136	Meristem	31.742765378721167	1.1564106312852938	Male apical meristem	15	
evm.TU.02.1136	Root	0	-0.6433050226002365	Roots	15	
evm.TU.02.1136	Root	0	-0.6433050226002365	Root	15	
evm.TU.02.1136	Root	0	-0.6433050226002365	Female root-mid	15	
evm.TU.02.1136	Root	0	-0.6433050226002365	Female root-tip	15	
evm.TU.02.1136	Stem	0	-0.6433050226002365	Stem	15	
evm.TU.02.1136	Stem	0	-0.6433050226002365	Primary stem	15	
evm.TU.02.1136	Stem	0	-0.6433050226002365	Shoot	15	
evm.TU.02.1136	Trichome	43.70379777592692	1.416809459115652	Trichomes	15	
evm.TU.02.1168	Flower	0	-0.408248290463863	Female flower	15	
evm.TU.02.1168	Flower	0	-0.408248290463863	Flower	15	
evm.TU.02.1168	Flower	0	-0.408248290463863	Male flower	15	
evm.TU.02.1168	Flower	0	-0.408248290463863	Female reproductive bud	15	
evm.TU.02.1168	Flower	0	-0.408248290463863	Female floral bud	15	
evm.TU.02.1168	Leaf	0	-0.408248290463863	Leaf	15	
evm.TU.02.1168	Leaf	0	-0.408248290463863	Leaf 	15	
evm.TU.02.1168	Leaf	0	-0.408248290463863	Petiole	15	
evm.TU.02.1168	Leaf	0	-0.408248290463863	Vegetative leaf - fresh cutting	15	
evm.TU.02.1168	Leaf	0	-0.408248290463863	Female reproductive leaf	15	
evm.TU.02.1168	Meristem	0	-0.408248290463863	Female apical meristem	15	
evm.TU.02.1168	Meristem	0	-0.408248290463863	Male apical meristem	15	
evm.TU.02.1168	Root	0	-0.408248290463863	Roots	15	
evm.TU.02.1168	Root	0	-0.408248290463863	Root	15	
evm.TU.02.1168	Root	0	-0.408248290463863	Female root-mid	15	
evm.TU.02.1168	Root	0	-0.408248290463863	Female root-tip	15	
evm.TU.02.1168	Stem	0	-0.408248290463863	Stem	15	
evm.TU.02.1168	Stem	0	-0.408248290463863	Primary stem	15	
evm.TU.02.1168	Stem	0	-0.408248290463863	Shoot	15	
evm.TU.02.1168	Trichome	31.6123900809069	2.0412414523193148	Trichomes	15	
evm.TU.02.1175	Flower	0	-0.408248290463863	Female flower	15	
evm.TU.02.1175	Flower	0	-0.408248290463863	Flower	15	
evm.TU.02.1175	Flower	0	-0.408248290463863	Male flower	15	
evm.TU.02.1175	Flower	0	-0.408248290463863	Female reproductive bud	15	
evm.TU.02.1175	Flower	0	-0.408248290463863	Female floral bud	15	
evm.TU.02.1175	Leaf	0	-0.408248290463863	Leaf	15	
evm.TU.02.1175	Leaf	0	-0.408248290463863	Leaf 	15	
evm.TU.02.1175	Leaf	0	-0.408248290463863	Petiole	15	
evm.TU.02.1175	Leaf	0	-0.408248290463863	Vegetative leaf - fresh cutting	15	
evm.TU.02.1175	Leaf	0	-0.408248290463863	Female reproductive leaf	15	
evm.TU.02.1175	Meristem	0	-0.408248290463863	Female apical meristem	15	
evm.TU.02.1175	Meristem	0	-0.408248290463863	Male apical meristem	15	
evm.TU.02.1175	Root	0	-0.408248290463863	Roots	15	
evm.TU.02.1175	Root	0	-0.408248290463863	Root	15	
evm.TU.02.1175	Root	0	-0.408248290463863	Female root-mid	15	
evm.TU.02.1175	Root	0	-0.408248290463863	Female root-tip	15	
evm.TU.02.1175	Stem	0	-0.408248290463863	Stem	15	
evm.TU.02.1175	Stem	0	-0.408248290463863	Primary stem	15	
evm.TU.02.1175	Stem	0	-0.408248290463863	Shoot	15	
evm.TU.02.1175	Trichome	24.141826522025696	2.0412414523193148	Trichomes	15	
evm.TU.02.1260	Flower	0	-0.6434239094800147	Female flower	15	
evm.TU.02.1260	Flower	0	-0.6434239094800147	Flower	15	
evm.TU.02.1260	Flower	0	-0.6434239094800147	Male flower	15	
evm.TU.02.1260	Flower	0	-0.6434239094800147	Female reproductive bud	15	
evm.TU.02.1260	Flower	0	-0.6434239094800147	Female floral bud	15	
evm.TU.02.1260	Leaf	0	-0.6434239094800147	Leaf	15	
evm.TU.02.1260	Leaf	0	-0.6434239094800147	Leaf 	15	
evm.TU.02.1260	Leaf	0	-0.6434239094800147	Petiole	15	
evm.TU.02.1260	Leaf	0	-0.6434239094800147	Vegetative leaf - fresh cutting	15	
evm.TU.02.1260	Leaf	0	-0.6434239094800147	Female reproductive leaf	15	
evm.TU.02.1260	Meristem	23.61349581527822	1.1602222439101102	Female apical meristem	15	
evm.TU.02.1260	Meristem	23.61349581527822	1.1602222439101102	Male apical meristem	15	
evm.TU.02.1260	Root	0	-0.6434239094800147	Roots	15	
evm.TU.02.1260	Root	0	-0.6434239094800147	Root	15	
evm.TU.02.1260	Root	0	-0.6434239094800147	Female root-mid	15	
evm.TU.02.1260	Root	0	-0.6434239094800147	Female root-tip	15	
evm.TU.02.1260	Stem	0	-0.6434239094800147	Stem	15	
evm.TU.02.1260	Stem	0	-0.6434239094800147	Primary stem	15	
evm.TU.02.1260	Stem	0	-0.6434239094800147	Shoot	15	
evm.TU.02.1260	Trichome	37.73227822943271	1.4134733940099486	Trichomes	15	
evm.TU.02.1531	Flower	0	-0.408248290463863	Female flower	15	
evm.TU.02.1531	Flower	0	-0.408248290463863	Flower	15	
evm.TU.02.1531	Flower	0	-0.408248290463863	Male flower	15	
evm.TU.02.1531	Flower	0	-0.408248290463863	Female reproductive bud	15	
evm.TU.02.1531	Flower	0	-0.408248290463863	Female floral bud	15	
evm.TU.02.1531	Leaf	0	-0.408248290463863	Leaf	15	
evm.TU.02.1531	Leaf	0	-0.408248290463863	Leaf 	15	
evm.TU.02.1531	Leaf	0	-0.408248290463863	Petiole	15	
evm.TU.02.1531	Leaf	0	-0.408248290463863	Vegetative leaf - fresh cutting	15	
evm.TU.02.1531	Leaf	0	-0.408248290463863	Female reproductive leaf	15	
evm.TU.02.1531	Meristem	0	-0.408248290463863	Female apical meristem	15	
evm.TU.02.1531	Meristem	0	-0.408248290463863	Male apical meristem	15	
evm.TU.02.1531	Root	0	-0.408248290463863	Roots	15	
evm.TU.02.1531	Root	0	-0.408248290463863	Root	15	
evm.TU.02.1531	Root	0	-0.408248290463863	Female root-mid	15	
evm.TU.02.1531	Root	0	-0.408248290463863	Female root-tip	15	
evm.TU.02.1531	Stem	0	-0.408248290463863	Stem	15	
evm.TU.02.1531	Stem	0	-0.408248290463863	Primary stem	15	
evm.TU.02.1531	Stem	0	-0.408248290463863	Shoot	15	
evm.TU.02.1531	Trichome	132.49014952873242	2.041241452319315	Trichomes	15	
evm.TU.02.1571	Flower	0	-0.408248290463863	Female flower	15	
evm.TU.02.1571	Flower	0	-0.408248290463863	Flower	15	
evm.TU.02.1571	Flower	0	-0.408248290463863	Male flower	15	
evm.TU.02.1571	Flower	0	-0.408248290463863	Female reproductive bud	15	
evm.TU.02.1571	Flower	0	-0.408248290463863	Female floral bud	15	
evm.TU.02.1571	Leaf	0	-0.408248290463863	Leaf	15	
evm.TU.02.1571	Leaf	0	-0.408248290463863	Leaf 	15	
evm.TU.02.1571	Leaf	0	-0.408248290463863	Petiole	15	
evm.TU.02.1571	Leaf	0	-0.408248290463863	Vegetative leaf - fresh cutting	15	
evm.TU.02.1571	Leaf	0	-0.408248290463863	Female reproductive leaf	15	
evm.TU.02.1571	Meristem	0	-0.408248290463863	Female apical meristem	15	
evm.TU.02.1571	Meristem	0	-0.408248290463863	Male apical meristem	15	
evm.TU.02.1571	Root	0	-0.408248290463863	Roots	15	
evm.TU.02.1571	Root	0	-0.408248290463863	Root	15	
evm.TU.02.1571	Root	0	-0.408248290463863	Female root-mid	15	
evm.TU.02.1571	Root	0	-0.408248290463863	Female root-tip	15	
evm.TU.02.1571	Stem	0	-0.408248290463863	Stem	15	
evm.TU.02.1571	Stem	0	-0.408248290463863	Primary stem	15	
evm.TU.02.1571	Stem	0	-0.408248290463863	Shoot	15	
evm.TU.02.1571	Trichome	105.04909397381728	2.041241452319315	Trichomes	15	
evm.TU.02.181	Flower	0	-0.6088613819110458	Female flower	15	
evm.TU.02.181	Flower	0	-0.6088613819110458	Flower	15	
evm.TU.02.181	Flower	0	-0.6088613819110458	Male flower	15	
evm.TU.02.181	Flower	0	-0.6088613819110458	Female reproductive bud	15	
evm.TU.02.181	Flower	0	-0.6088613819110458	Female floral bud	15	
evm.TU.02.181	Leaf	0	-0.6088613819110458	Leaf	15	
evm.TU.02.181	Leaf	0	-0.6088613819110458	Leaf 	15	
evm.TU.02.181	Leaf	0	-0.6088613819110458	Petiole	15	
evm.TU.02.181	Leaf	0	-0.6088613819110458	Vegetative leaf - fresh cutting	15	
evm.TU.02.181	Leaf	0	-0.6088613819110458	Female reproductive leaf	15	
evm.TU.02.181	Meristem	17.232265195895007	0.6926257197395422	Female apical meristem	15	
evm.TU.02.181	Meristem	17.232265195895007	0.6926257197395422	Male apical meristem	15	
evm.TU.02.181	Root	0	-0.6088613819110458	Roots	15	
evm.TU.02.181	Root	0	-0.6088613819110458	Root	15	
evm.TU.02.181	Root	0	-0.6088613819110458	Female root-mid	15	
evm.TU.02.181	Root	0	-0.6088613819110458	Female root-tip	15	
evm.TU.02.181	Stem	0	-0.6088613819110458	Stem	15	
evm.TU.02.181	Stem	0	-0.6088613819110458	Primary stem	15	
evm.TU.02.181	Stem	0	-0.6088613819110458	Shoot	15	
evm.TU.02.181	Trichome	42.313294172227025	1.7428198079046404	Trichomes	15	
evm.TU.02.25	Flower	0	-0.5806089836330284	Female flower	15	
evm.TU.02.25	Flower	0	-0.5806089836330284	Flower	15	
evm.TU.02.25	Flower	0	-0.5806089836330284	Male flower	15	
evm.TU.02.25	Flower	0	-0.5806089836330284	Female reproductive bud	15	
evm.TU.02.25	Flower	0	-0.5806089836330284	Female floral bud	15	
evm.TU.02.25	Leaf	0	-0.5806089836330284	Leaf	15	
evm.TU.02.25	Leaf	0	-0.5806089836330284	Leaf 	15	
evm.TU.02.25	Leaf	0	-0.5806089836330284	Petiole	15	
evm.TU.02.25	Leaf	0	-0.5806089836330284	Vegetative leaf - fresh cutting	15	
evm.TU.02.25	Leaf	0	-0.5806089836330284	Female reproductive leaf	15	
evm.TU.02.25	Meristem	3.841198190057412	0.470306070749771	Female apical meristem	15	
evm.TU.02.25	Meristem	3.841198190057412	0.470306070749771	Male apical meristem	15	
evm.TU.02.25	Root	0	-0.5806089836330284	Roots	15	
evm.TU.02.25	Root	0	-0.5806089836330284	Root	15	
evm.TU.02.25	Root	0	-0.5806089836330284	Female root-mid	15	
evm.TU.02.25	Root	0	-0.5806089836330284	Female root-tip	15	
evm.TU.02.25	Stem	0	-0.5806089836330284	Stem	15	
evm.TU.02.25	Stem	0	-0.5806089836330284	Primary stem	15	
evm.TU.02.25	Stem	0	-0.5806089836330284	Shoot	15	
evm.TU.02.25	Trichome	45.65458985662781	1.8521298637823425	Trichomes	15	
evm.TU.02.308	Flower	0	-0.6193502947609947	Female flower	15	
evm.TU.02.308	Flower	0	-0.6193502947609947	Flower	15	
evm.TU.02.308	Flower	0	-0.6193502947609947	Male flower	15	
evm.TU.02.308	Flower	0	-0.6193502947609947	Female reproductive bud	15	
evm.TU.02.308	Flower	0	-0.6193502947609947	Female floral bud	15	
evm.TU.02.308	Leaf	0	-0.6193502947609947	Leaf	15	
evm.TU.02.308	Leaf	0	-0.6193502947609947	Leaf 	15	
evm.TU.02.308	Leaf	0	-0.6193502947609947	Petiole	15	
evm.TU.02.308	Leaf	0	-0.6193502947609947	Vegetative leaf - fresh cutting	15	
evm.TU.02.308	Leaf	0	-0.6193502947609947	Female reproductive leaf	15	
evm.TU.02.308	Meristem	9.983331091859842	0.793244335466875	Female apical meristem	15	
evm.TU.02.308	Meristem	9.983331091859842	0.793244335466875	Male apical meristem	15	
evm.TU.02.308	Root	0	-0.6193502947609947	Roots	15	
evm.TU.02.308	Root	0	-0.6193502947609947	Root	15	
evm.TU.02.308	Root	0	-0.6193502947609947	Female root-mid	15	
evm.TU.02.308	Root	0	-0.6193502947609947	Female root-tip	15	
evm.TU.02.308	Stem	0	-0.6193502947609947	Stem	15	
evm.TU.02.308	Stem	0	-0.6193502947609947	Primary stem	15	
evm.TU.02.308	Stem	0	-0.6193502947609947	Shoot	15	
evm.TU.02.308	Trichome	42.79418575612533	1.6841568435771037	Trichomes	15	
evm.TU.02.3111	Flower	0	-0.4749579760623069	Female flower	15	
evm.TU.02.3111	Flower	0	-0.4749579760623069	Flower	15	
evm.TU.02.3111	Flower	0	-0.4749579760623069	Male flower	15	
evm.TU.02.3111	Flower	0	-0.4749579760623069	Female reproductive bud	15	
evm.TU.02.3111	Flower	0	-0.4749579760623069	Female floral bud	15	
evm.TU.02.3111	Leaf	0	-0.4749579760623069	Leaf	15	
evm.TU.02.3111	Leaf	0	-0.4749579760623069	Leaf 	15	
evm.TU.02.3111	Leaf	0	-0.4749579760623069	Petiole	15	
evm.TU.02.3111	Leaf	0	-0.4749579760623069	Vegetative leaf - fresh cutting	15	
evm.TU.02.3111	Leaf	0	-0.4749579760623069	Female reproductive leaf	15	
evm.TU.02.3111	Meristem	0	-0.4749579760623069	Female apical meristem	15	
evm.TU.02.3111	Meristem	0	-0.4749579760623069	Male apical meristem	15	
evm.TU.02.3111	Root	0	-0.4749579760623069	Roots	15	
evm.TU.02.3111	Root	0	-0.4749579760623069	Root	15	
evm.TU.02.3111	Root	0	-0.4749579760623069	Female root-mid	15	
evm.TU.02.3111	Root	0	-0.4749579760623069	Female root-tip	15	
evm.TU.02.3111	Stem	0.7137807881626529	-0.1208265593359065	Stem	15	
evm.TU.02.3111	Stem	0.7137807881626529	-0.1208265593359065	Primary stem	15	
evm.TU.02.3111	Stem	0.7137807881626529	-0.1208265593359065	Shoot	15	
evm.TU.02.3111	Trichome	47.579777619225666	2.0206584635851343	Trichomes	15	
evm.TU.02.508	Flower	0	-0.4082482904638631	Female flower	15	
evm.TU.02.508	Flower	0	-0.4082482904638631	Flower	15	
evm.TU.02.508	Flower	0	-0.4082482904638631	Male flower	15	
evm.TU.02.508	Flower	0	-0.4082482904638631	Female reproductive bud	15	
evm.TU.02.508	Flower	0	-0.4082482904638631	Female floral bud	15	
evm.TU.02.508	Leaf	0	-0.4082482904638631	Leaf	15	
evm.TU.02.508	Leaf	0	-0.4082482904638631	Leaf 	15	
evm.TU.02.508	Leaf	0	-0.4082482904638631	Petiole	15	
evm.TU.02.508	Leaf	0	-0.4082482904638631	Vegetative leaf - fresh cutting	15	
evm.TU.02.508	Leaf	0	-0.4082482904638631	Female reproductive leaf	15	
evm.TU.02.508	Meristem	0	-0.4082482904638631	Female apical meristem	15	
evm.TU.02.508	Meristem	0	-0.4082482904638631	Male apical meristem	15	
evm.TU.02.508	Root	0	-0.4082482904638631	Roots	15	
evm.TU.02.508	Root	0	-0.4082482904638631	Root	15	
evm.TU.02.508	Root	0	-0.4082482904638631	Female root-mid	15	
evm.TU.02.508	Root	0	-0.4082482904638631	Female root-tip	15	
evm.TU.02.508	Stem	0	-0.4082482904638631	Stem	15	
evm.TU.02.508	Stem	0	-0.4082482904638631	Primary stem	15	
